"id","event","song","order","set","filename"
"track-5aa78406fb28353c55132ac7","20170701_umphreysmcgoo_redrocks","song-5aa78406fb28353c551329a6","9","Set 2","20170701_umphreysmcgoo_redrocks_9_jajunk"
"track-5aa78406fb28353c55132ac8","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c55132915","10","Set 2","20170702_umphreysmcgoo_redrocks_10_daynurse"
"track-5aa78406fb28353c55132ac9","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c551328ae","11","Set 2","20170702_umphreysmcgoo_redrocks_11_2ndself"
"track-5aa78406fb28353c55132aca","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c55132a1e","12","Set 2","20170702_umphreysmcgoo_redrocks_12_redbarchetta"
"track-5aa78406fb28353c55132acb","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c551329e2","13","Set 2","20170702_umphreysmcgoo_redrocks_13_mulchesodyssey"
"track-5aa78406fb28353c55132acc","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c55132a3e","14","Set 2","20170702_umphreysmcgoo_redrocks_14_slacker"
"track-5aa78406fb28353c55132acd","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c55132a11","15","Set 2","20170702_umphreysmcgoo_redrocks_15_plunger"
"track-5aa78406fb28353c55132ace","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c55132934","16","Set 2","20170702_umphreysmcgoo_redrocks_16_electricavenuetohell"
"track-5aa78406fb28353c55132acf","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c55132a18","17","Encore","20170702_umphreysmcgoo_redrocks_17_puppetstring"
"track-5aa78406fb28353c55132ad0","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c5513295d","18","Encore","20170702_umphreysmcgoo_redrocks_18_glory"
"track-5aa78406fb28353c55132ad1","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c55132a18","19","Encore","20170702_umphreysmcgoo_redrocks_19_puppetstring"
"track-5aa78406fb28353c55132ad2","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c551329eb","1","Set 1","20170702_umphreysmcgoo_redrocks_1_nippletrix"
"track-5aa78406fb28353c55132ad3","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c55132958","2","Set 1","20170702_umphreysmcgoo_redrocks_2_getinthevan"
"track-5aa78406fb28353c55132ad4","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c55132a4d","3","Set 1","20170702_umphreysmcgoo_redrocks_3_speakup"
"track-5aa78406fb28353c55132ad5","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c551328e2","4","Set 1","20170702_umphreysmcgoo_redrocks_4_boothlove"
"track-5aa78406fb28353c55132ad6","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c55132aaf","5","Set 1","20170702_umphreysmcgoo_redrocks_5_wizardburialground"
"track-5aa78406fb28353c55132ad7","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c551328cc","6","Set 1","20170702_umphreysmcgoo_redrocks_6_august"
"track-5aa78406fb28353c55132ad8","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c5513290d","7","Set 1","20170702_umphreysmcgoo_redrocks_7_cutoff"
"track-5aa78406fb28353c55132ad9","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c551329f9","8","Set 1","20170702_umphreysmcgoo_redrocks_8_oceanbilly"
"track-5aa78406fb28353c55132ada","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c551328c9","9","Set 2","20170702_umphreysmcgoo_redrocks_9_attachments"
"track-5aa78406fb28353c55132adb","20170702_umphreysmcgoo_redrocks","song-5aa78406fb28353c551328a7","","","20170702_umphreysmcgoo_redrocks__"
